КодКлиента,Название,ОбращатьсяК,Должность,Адрес,Город,Область,Индекс,Страна,Телефон,Факс
"TORTU","Tortuga Restaurante","Miguel Angel Paolino","Совладелец","Avda. Azteca 123","Мехико",,"05033","Мексика","(5) 555-2933",
"TRADH","Tradiero Hipermercados","Anabela Domingues","Представитель","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия","(11) 555-2167","(11) 555-2168"
"TRAIH","Trail's Head Gourmet Provisioners","Helvetius Nagy","Ученик продавца","722 DaVinci Blvd.","Керкленд","WA","98034","США","(206) 555-8257","(206) 555-2174"
"VAFFE","Vaffeljernet","Palle Ibsen","Менеджер по продажам","Smagsloget 45","Орхус",,"8200","Дания","86 21 32 43","86 22 33 44"
"VICTE","Victuailles en stock","Mary Saveley","Продавец","2, rue du Commerce","Лион",,"69004","Франция","78.32.54.86","78.32.54.87"
"VINET","Vinette bistro","Paul Henriot","Бухгалтер","59 rue de l'Abbaye","Реймс",,"51100","Франция","26.47.15.10","26.47.15.11"
"WANDK","Die Wandernde Kuh","Rita Muller","Представитель","Adenauerallee 900","Штутгарт",,"70563","Германия","0711-020361","0711-035428"
"WARTH","Wartian Herkku","Pirkko Koskitalo","Бухгалтер","Torikatu 38","Оулу",,"90110","Финляндия","981-443655","981-443655"
"WELLI","Wellington Importadora","Paula Parente","Менеджер по продажам","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия","(14) 555-8122",
"WHITC","White Clover Markets","Karl Jablonski","Совладелец","305 - 14th Ave. S.
Suite 3B","Сиэтл","WA","98128","США","(206) 555-4112","(206) 555-4115"
"WILMK","Wilman Kala","Matti Karttunen","Управляющий","Keskuskatu 45","Хельсинки",,"21240","Финляндия","90-224 8858","90-224 8858"
"WOLZA","Wolski  Zajazd","Zbyszek Piestrzeniewicz","Совладелец","ul. Filtrowa 68","Варшава",,"01-012","Польша","(26) 642-7012","(26) 642-7012"
